content,score,at
"Sering ga konek, udah bayar mahal dan langganan susah buat nontonnya. Tolong PECAT DIVISI NETWORK NYA. Payah.",1,2025-02-15 05:36:41
"Tolong ditambah lagi filmnya, terutama banyak drama korea yang bagus",4,2025-02-15 01:50:32
"Emang benar ada beberapa bug,tapi dilihat dari sisi baik,entah kenapa apk ini memulihkan akun ku dulu yang telah lama hilang,jadii Terima kasih atas bantuan nya",5,2025-02-14 21:13:49
Baru saja berlangganan sudah error tidak bisa di tonton,1,2025-02-13 20:48:05
"Woy uang gw ngapa diambil,pdhl gk berlangganan lgi malah kepotong lgi duitnya",1,2025-02-13 13:24:02
Gak bisa login,1,2025-02-13 11:13:26
Ada film yg gratis buat menonton?,5,2025-02-13 02:16:03
Aplikasi sampah,1,2025-02-12 22:09:10
Kaya pler,1,2025-02-12 19:53:41
untuk developer tolong segera di perbaiki semua fiturnya. lihat ranting aplikasi ini sangat jelek sekali! kualitas aplikasi sangat buruk.,1,2025-02-12 19:05:55
Pelayanan Disney mantap cuy,5,2025-02-12 15:40:12
Terpotong otomatis biaya nya melalui dana tapi sampai skrg sudah 2 hari blm bisa di tonton disitu di katakan lakukan pembayaran dulu.,3,2025-02-12 15:00:05
Aplikasinya jelek di persulit mulu kode verif nya gajelas udh di masukin bner malah salah berulang ulang,1,2025-02-12 14:49:39
Kurang bagus masalh nya semua trailer doang,1,2025-02-12 13:41:57
"video hanya muncul suara, sudah mencoba dikasih apk via google drive ternyata hanya beberapa waktu saja dan permasalahan muncul kembali...",1,2025-02-12 09:13:17
Halo kenapa aku ga dapet kode?,1,2025-02-12 08:14:42
"Bintang tidak berbohong, dari pada buang2 duit buat langganan ini aplikasi. mending cari aplikasi streaming lain yg lebih jelas dan pasti.",1,2025-02-12 01:05:27
"Gak bisa hapus akun, aplikasi busuk",1,2025-02-11 15:35:06
Jelekkk,1,2025-02-11 14:36:04
"tidak bisa di buka,alasan kedahalan jaringan",1,2025-02-11 11:47:02
